"INSTANCE_NUMBER","PROCESS","TIME"
1,4840,"20/04/2021 10:00"
2,4557,"20/04/2021 10:00"
1,4535,"20/04/2021 11:00"
2,4709,"20/04/2021 11:00"
1,4446,"20/04/2021 12:00"
2,4511,"20/04/2021 12:00"
2,4395,"20/04/2021 13:00"
1,4374,"20/04/2021 13:00"
1,4363,"20/04/2021 14:00"
2,4452,"20/04/2021 14:00"
2,4482,"20/04/2021 15:00"
1,4367,"20/04/2021 15:00"
1,4370,"20/04/2021 16:00"
2,4483,"20/04/2021 16:00"
1,4375,"20/04/2021 17:00"
2,4488,"20/04/2021 17:00"
1,4393,"20/04/2021 18:00"
2,4495,"20/04/2021 18:00"
2,4519,"20/04/2021 19:00"
1,4391,"20/04/2021 19:00"
2,4529,"20/04/2021 20:00"
1,4369,"20/04/2021 20:00"
2,4596,"20/04/2021 21:00"
1,4456,"20/04/2021 21:00"
1,4373,"20/04/2021 22:00"
2,4545,"20/04/2021 22:00"
2,4565,"20/04/2021 23:00"
1,4368,"20/04/2021 23:00"
2,4589,"21/04/2021 00:00"
1,4363,"21/04/2021 00:00"
2,4588,"21/04/2021 01:00"
1,4361,"21/04/2021 01:00"
2,4588,"21/04/2021 02:00"
1,4343,"21/04/2021 02:00"
2,4604,"21/04/2021 03:00"
1,4344,"21/04/2021 03:00"
2,4605,"21/04/2021 04:00"
1,4352,"21/04/2021 04:00"
2,4605,"21/04/2021 05:00"
1,4357,"21/04/2021 05:00"
1,4361,"21/04/2021 06:00"
2,4621,"21/04/2021 06:00"
2,4617,"21/04/2021 07:00"
1,4371,"21/04/2021 07:00"
1,4370,"21/04/2021 08:00"
2,4610,"21/04/2021 08:00"
1,4514,"21/04/2021 09:00"
2,4615,"21/04/2021 09:00"
2,4515,"21/04/2021 10:00"
1,4494,"21/04/2021 10:00"
2,4519,"21/04/2021 11:00"
1,4371,"21/04/2021 11:00"
2,4297,"21/04/2021 12:00"
1,4274,"21/04/2021 12:00"
2,4174,"21/04/2021 13:00"
1,4224,"21/04/2021 13:00"
2,4322,"21/04/2021 14:00"
1,4223,"21/04/2021 14:00"
1,4211,"21/04/2021 15:00"
2,4338,"21/04/2021 15:00"
2,4340,"21/04/2021 16:00"
1,4213,"21/04/2021 16:00"
1,4230,"21/04/2021 17:00"
2,4323,"21/04/2021 17:00"
1,4273,"21/04/2021 18:00"
2,4356,"21/04/2021 18:00"
1,4285,"21/04/2021 19:00"
2,4375,"21/04/2021 19:00"
2,4412,"21/04/2021 20:00"
1,4303,"21/04/2021 20:00"
1,4322,"21/04/2021 21:00"
2,4411,"21/04/2021 21:00"
2,4394,"21/04/2021 22:00"
1,4312,"21/04/2021 22:00"
2,4440,"21/04/2021 23:00"
1,4322,"21/04/2021 23:00"
1,4328,"22/04/2021 00:00"
2,4434,"22/04/2021 00:00"
1,4329,"22/04/2021 01:00"
2,4434,"22/04/2021 01:00"
2,4426,"22/04/2021 02:00"
1,4326,"22/04/2021 02:00"
1,4331,"22/04/2021 03:00"
2,4431,"22/04/2021 03:00"
2,4441,"22/04/2021 04:00"
1,4319,"22/04/2021 04:00"
1,4327,"22/04/2021 05:00"
2,4440,"22/04/2021 05:00"
2,4451,"22/04/2021 06:00"
1,4327,"22/04/2021 06:00"
2,4449,"22/04/2021 07:00"
1,4324,"22/04/2021 07:00"
2,4456,"22/04/2021 08:00"
1,4313,"22/04/2021 08:00"
2,4492,"22/04/2021 09:00"
1,4317,"22/04/2021 09:00"
1,4292,"22/04/2021 10:00"
2,4502,"22/04/2021 10:00"
2,4576,"22/04/2021 11:00"
1,4287,"22/04/2021 11:00"
2,4575,"22/04/2021 12:00"
1,4242,"22/04/2021 12:00"
2,4542,"22/04/2021 13:00"
1,4364,"22/04/2021 13:00"
1,4262,"22/04/2021 14:00"
2,4504,"22/04/2021 14:00"
1,4264,"22/04/2021 15:00"
2,4504,"22/04/2021 15:00"
1,4267,"22/04/2021 16:00"
2,4530,"22/04/2021 16:00"
2,4524,"22/04/2021 17:00"
1,4266,"22/04/2021 17:00"
1,4267,"22/04/2021 18:00"
2,4508,"22/04/2021 18:00"
2,4523,"22/04/2021 19:00"
1,4269,"22/04/2021 19:00"
1,4269,"22/04/2021 20:00"
2,4511,"22/04/2021 20:00"
1,4266,"22/04/2021 21:00"
2,4510,"22/04/2021 21:00"
2,4511,"22/04/2021 22:00"
1,4279,"22/04/2021 22:00"
2,4522,"22/04/2021 23:00"
1,4275,"22/04/2021 23:00"
