AWRDATE,OBJECT,VALUE,RANK
"23/09/2021 11:00","SUBSCRIPTION_CONSUMPTION","3279801189",3
"23/09/2021 11:00","SUBSCRIPTION","1366208607",4
"23/09/2021 11:00","SUBS_PRESENCE_LOCATION_01_IDX","608626302",5
"23/09/2021 11:00","HISTO_GPRS_09","271355212",6
"23/09/2021 11:00","HISTO_LOCATION_09_PK","244503920",7
"23/09/2021 11:00","HISTO_GPRS_09_IDX","50450985",8
"23/09/2021 11:00","POOL_CHARGING","23735546",9
"23/09/2021 11:00","HISTO_LOCATION_09","2907671",10
"23/09/2021 12:00","SUBSCRIPTION_PRESENCE_LOCATION","8756139347",1
"23/09/2021 12:00","HISTO_GPRS_09_PK","5270275732",2
"23/09/2021 12:00","SUBSCRIPTION_CONSUMPTION","3282640081",3
"23/09/2021 12:00","SUBSCRIPTION","1367718692",4
"23/09/2021 12:00","SUBS_PRESENCE_LOCATION_01_IDX","609125232",5
"23/09/2021 12:00","HISTO_GPRS_09","333091489",6
"23/09/2021 12:00","HISTO_LOCATION_09_PK","244948423",7
"23/09/2021 12:00","HISTO_GPRS_09_IDX","48628684",8
"23/09/2021 12:00","POOL_CHARGING","23764074",9
"23/09/2021 12:00","SUBSCRIPTION_OUTREACH_EVENTS","2702802",10
"23/09/2021 13:00","SUBSCRIPTION_PRESENCE_LOCATION","8763792279",1
"23/09/2021 13:00","HISTO_GPRS_09_PK","5281510201",2
"23/09/2021 13:00","SUBSCRIPTION_CONSUMPTION","3285398740",3
"23/09/2021 13:00","SUBSCRIPTION","1369227609",4
"23/09/2021 13:00","SUBS_PRESENCE_LOCATION_01_IDX","609620399",5
"23/09/2021 13:00","HISTO_GPRS_09","279492355",6
"23/09/2021 13:00","HISTO_LOCATION_09_PK","245520837",7
"23/09/2021 13:00","HISTO_GPRS_09_IDX","49650851",8
"23/09/2021 13:00","POOL_CHARGING","23791510",9
"23/09/2021 13:00","HISTO_LOCATION_09","4016187",10
"23/09/2021 14:00","SUBSCRIPTION_PRESENCE_LOCATION","8772653705",1
"23/09/2021 14:00","HISTO_GPRS_09_PK","5293545086",2
"23/09/2021 14:00","SUBSCRIPTION_CONSUMPTION","3288395330",3
"23/09/2021 14:00","SUBSCRIPTION","1370805031",4
"23/09/2021 14:00","SUBS_PRESENCE_LOCATION_01_IDX","610173808",5
"23/09/2021 14:00","HISTO_GPRS_09","332445700",6
"23/09/2021 14:00","HISTO_LOCATION_09_PK","246199959",7
"23/09/2021 14:00","HISTO_GPRS_09_IDX","52161578",8
"23/09/2021 14:00","POOL_CHARGING","23820720",9
"23/09/2021 14:00","HISTO_LOCATION_09","3848009",10
"23/09/2021 15:00","SUBSCRIPTION_PRESENCE_LOCATION","8781446058",1
"23/09/2021 15:00","HISTO_GPRS_09_PK","5305543158",2
"23/09/2021 15:00","SUBSCRIPTION_CONSUMPTION","3291404239",3
"23/09/2021 15:00","SUBSCRIPTION","1372438158",4
"23/09/2021 15:00","SUBS_PRESENCE_LOCATION_01_IDX","610739489",5
"23/09/2021 15:00","HISTO_GPRS_09","330043238",6
"23/09/2021 15:00","HISTO_LOCATION_09_PK","246904394",7
"23/09/2021 15:00","HISTO_GPRS_09_IDX","50546313",8
"23/09/2021 15:00","POOL_CHARGING","23850364",9
